date,altersklasse_covid19,vaccination_status,entries,sumTotal,pop,inz_entries,inzsumTotal,geoRegion,type,type_variant,vaccine,data_completeness,version
202104,0 - 9,fully_vaccinated,0,0,5,0,NA,CHFL,COVID19Hosp,vaccine,all,limited,2021-10-14_07-47-02
202104,0 - 9,partially_vaccinated,0,0,17,0,NA,CHFL,COVID19Hosp,vaccine,all,limited,2021-10-14_07-47-02
202104,0 - 9,not_vaccinated,6,6,877077,0.68,NA,CHFL,COVID19Hosp,vaccine,all,limited,2021-10-14_07-47-02
202104,0 - 9,unknown,2,2,NA,NA,NA,CHFL,COVID19Hosp,vaccine,all,limited,2021-10-14_07-47-02
202104,10 - 19,fully_vaccinated,0,0,51,0,NA,CHFL,COVID19Hosp,vaccine,all,limited,2021-10-14_07-47-02
202104,10 - 19,partially_vaccinated,0,0,1056,0,NA,CHFL,COVID19Hosp,vaccine,all,limited,2021-10-14_07-47-02
202104,10 - 19,not_vaccinated,1,1,846968,0.12,NA,CHFL,COVID19Hosp,vaccine,all,limited,2021-10-14_07-47-02
202104,10 - 19,unknown,1,1,NA,NA,NA,CHFL,COVID19Hosp,vaccine,all,limited,2021-10-14_07-47-02
202104,20 - 29,fully_vaccinated,0,0,396,0,NA,CHFL,COVID19Hosp,vaccine,all,limited,2021-10-14_07-47-02
202104,20 - 29,partially_vaccinated,0,0,7793,0,NA,CHFL,COVID19Hosp,vaccine,all,limited,2021-10-14_07-47-02
202104,20 - 29,not_vaccinated,1,1,1041670,0.1,NA,CHFL,COVID19Hosp,vaccine,all,limited,2021-10-14_07-47-02
202104,20 - 29,unknown,2,2,NA,NA,NA,CHFL,COVID19Hosp,vaccine,all,limited,2021-10-14_07-47-02
202104,30 - 39,fully_vaccinated,0,0,703,0,NA,CHFL,COVID19Hosp,vaccine,all,limited,2021-10-14_07-47-02
202104,30 - 39,partially_vaccinated,0,0,12117,0,NA,CHFL,COVID19Hosp,vaccine,all,limited,2021-10-14_07-47-02
202104,30 - 39,not_vaccinated,2,2,1221323,0.16,NA,CHFL,COVID19Hosp,vaccine,all,limited,2021-10-14_07-47-02
202104,30 - 39,unknown,4,4,NA,NA,NA,CHFL,COVID19Hosp,vaccine,all,limited,2021-10-14_07-47-02
202104,40 - 49,fully_vaccinated,0,0,1058,0,NA,CHFL,COVID19Hosp,vaccine,all,limited,2021-10-14_07-47-02
202104,40 - 49,partially_vaccinated,0,0,16488,0,NA,CHFL,COVID19Hosp,vaccine,all,limited,2021-10-14_07-47-02
202104,40 - 49,not_vaccinated,4,4,1186278,0.34,NA,CHFL,COVID19Hosp,vaccine,all,limited,2021-10-14_07-47-02
202104,40 - 49,unknown,16,16,NA,NA,NA,CHFL,COVID19Hosp,vaccine,all,limited,2021-10-14_07-47-02
