week,fully_vaccinated_first_booster,fully_vaccinated_no_booster,fully_vaccinated,partially_vaccinated,not_vaccinated,unknown
1,0,0,0,0,0,0
2,0,0,0,0,0,0
3,0,0,0,0,0,0
4,0,0,0,2,57,243
5,0,0,0,7,118,301
6,0,3,3,4,110,213
7,0,6,6,10,109,188
8,0,6,6,6,99,182
9,0,6,6,7,143,186
10,0,6,6,8,136,210
11,0,10,10,13,158,231
12,0,6,6,4,223,237
13,0,14,14,10,236,289
14,0,15,15,15,214,268
15,1,17,18,9,271,199
16,0,15,15,12,254,211
17,0,16,16,15,241,194
18,0,15,15,14,178,133
19,0,6,6,10,121,101
20,0,9,9,11,144,90
21,0,14,14,5,77,59
22,0,8,8,5,66,42
23,0,14,14,2,33,29
24,0,6,6,1,24,18
25,1,3,4,1,11,15
26,0,4,4,2,5,8
27,0,0,0,0,23,7
28,0,8,8,1,44,12
29,0,17,17,0,55,20
30,0,15,15,0,86,24
31,0,16,16,2,134,32
32,0,39,39,8,300,39
33,1,56,57,3,389,93
34,0,50,50,5,356,87
35,0,51,51,5,307,62
36,0,52,52,3,250,61
37,0,57,57,7,220,38
38,0,49,49,7,167,33
39,1,38,39,6,112,30
40,2,55,57,6,95,18
41,2,52,54,6,90,23
42,0,76,76,2,86,31
43,2,79,81,4,133,36
44,9,103,112,3,157,47
45,13,146,159,1,225,45
46,17,194,211,9,314,83
47,46,212,258,4,379,117
48,54,256,310,8,460,111
49,62,253,315,16,492,95
50,70,158,228,7,495,90
51,97,169,266,9,453,131
52,110,154,264,7,413,130
