week,0-9,10-19,20-29,30-39,40-49,50-59,60-69,70-79,80-
1,0,0,0,0,0,0,0,0,0
2,0,0,0,0,0,0,0,0,0
3,0,0,0,0,0,0,0,0,0
4,0,0,0,0,0,0,0,0,0
5,0,0,0,0,0,0,0,0,0
6,0,0,0,0,0,0,0,0,1
7,0,0,0,0,0,0,0,0,0
8,0,0,0,0,0,0,1,1,1
9,0,0,0,0,0,0,1,0,0
10,0,0,0,0,0,0,0,1,2
11,0,0,0,0,0,1,0,0,1
12,0,0,0,0,0,0,0,1,3
13,0,0,0,0,0,0,0,3,5
14,0,0,0,0,0,0,0,2,3
15,0,0,0,0,0,1,0,1,6
16,0,0,0,0,0,0,0,1,3
17,0,0,0,0,0,1,0,0,4
18,0,0,0,0,1,0,0,2,4
19,0,0,0,0,0,1,0,0,3
20,0,0,0,0,0,0,1,0,1
21,0,0,0,0,0,0,1,4,3
22,0,0,0,0,1,1,1,0,2
23,0,0,0,1,1,0,0,1,2
24,0,0,0,0,0,2,1,0,1
25,0,0,0,0,0,0,2,1,0
26,0,0,0,0,0,0,0,0,0
27,0,0,0,0,0,0,0,0,0
28,0,0,0,0,0,1,1,1,1
29,0,0,0,0,0,2,0,7,3
30,0,0,0,0,1,0,3,1,4
31,0,0,0,0,0,0,1,1,4
32,0,0,0,2,1,2,3,2,9
33,0,0,1,1,2,5,5,5,6
34,0,0,0,0,0,4,7,7,5
35,0,0,0,0,2,1,5,6,6
36,0,0,0,0,0,0,3,7,11
37,0,1,1,0,0,1,6,11,7
38,0,0,1,1,1,3,6,10,8
39,0,0,0,0,0,0,0,0,0
40,0,0,0,0,0,0,0,0,0
41,0,0,0,0,0,0,0,0,0
42,0,0,0,0,0,0,0,0,0
43,0,0,0,0,0,0,0,0,0
44,0,0,0,0,0,0,0,0,0
45,0,0,0,0,0,0,0,0,0
46,0,0,0,0,0,0,0,0,0
47,0,0,0,0,0,0,0,0,0
48,0,0,0,0,0,0,0,0,0
49,0,0,0,0,0,0,0,0,0
50,0,0,0,0,0,0,0,0,0
51,0,0,0,0,0,0,0,0,0
52,0,0,0,0,0,0,0,0,0
