week,0-9,10-19,20-29,30-39,40-49,50-59,60-69,70-79,80-
1,1,0,0,0,0,2,6,9,10
2,0,0,0,0,0,4,3,9,11
3,0,0,1,0,0,3,1,4,4
4,0,0,0,1,1,5,0,6,6
5,1,0,4,2,0,2,3,2,3
6,0,0,1,2,3,2,1,3,2
7,0,0,1,0,0,0,1,3,5
8,0,0,0,1,0,1,2,0,2
9,0,0,1,0,0,4,2,2,2
10,0,0,1,1,0,1,4,1,2
11,0,0,1,0,2,0,1,1,2
12,0,0,0,2,0,4,2,3,1
13,1,0,0,0,0,0,4,0,1
14,0,0,0,0,1,2,1,2,0
15,0,0,0,0,0,1,2,2,1
16,0,0,0,0,2,3,3,1,2
17,0,0,0,1,1,2,1,0,0
18,0,1,0,0,1,0,2,4,2
19,1,0,0,0,0,1,0,0,1
20,0,0,1,2,1,3,2,1,1
21,1,0,0,0,0,1,0,3,0
22,0,0,1,0,2,2,1,0,0
23,0,0,0,1,0,3,0,0,1
24,0,0,0,1,0,0,1,0,1
25,0,0,1,0,0,0,0,0,0
26,0,0,0,0,1,0,0,0,0
27,0,0,0,0,0,0,0,0,0
28,0,0,0,0,0,0,0,0,0
29,0,0,0,0,0,0,0,0,1
30,0,0,0,0,0,0,0,0,0
31,1,0,1,0,1,0,0,0,0
32,0,0,0,1,0,1,0,1,0
33,1,0,1,0,0,5,0,3,0
34,1,0,1,0,3,6,5,2,2
35,0,0,2,0,7,3,3,0,2
36,0,0,0,0,0,0,0,0,0
37,0,0,0,0,0,0,0,0,0
38,0,0,0,0,0,0,0,0,0
39,0,0,0,0,0,0,0,0,0
40,0,0,0,0,0,0,0,0,0
41,0,0,0,0,0,0,0,0,0
42,0,0,0,0,0,0,0,0,0
43,0,0,0,0,0,0,0,0,0
44,0,0,0,0,0,0,0,0,0
45,0,0,0,0,0,0,0,0,0
46,0,0,0,0,0,0,0,0,0
47,0,0,0,0,0,0,0,0,0
48,0,0,0,0,0,0,0,0,0
49,0,0,0,0,0,0,0,0,0
50,0,0,0,0,0,0,0,0,0
51,0,0,0,0,0,0,0,0,0
52,0,0,0,0,0,0,0,0,0
