week,0-9,10-19,20-29,30-39,40-49,50-59,60-69,70-79,80-
1,14,5,9,20,52,99,169,241,349
2,9,4,10,15,36,84,105,165,257
3,8,3,9,10,29,72,86,120,203
4,11,2,4,8,25,58,69,110,165
5,6,3,12,22,23,51,70,88,136
6,4,3,10,8,24,43,51,68,106
7,3,4,5,9,17,38,45,77,107
8,4,4,5,13,14,28,60,69,93
9,2,2,12,17,31,44,57,89,83
10,8,0,7,24,40,50,70,77,80
11,9,3,11,21,39,77,89,72,82
12,5,3,9,26,50,84,110,100,77
13,9,3,12,32,54,101,122,111,99
14,9,1,11,29,52,115,108,112,74
15,8,2,10,29,56,116,117,78,80
16,13,3,13,32,66,102,110,76,76
17,8,1,10,38,50,108,109,63,76
18,1,1,9,19,44,80,65,63,54
19,5,5,8,17,40,56,47,31,28
20,5,4,4,19,36,67,51,32,33
21,2,1,5,10,21,32,19,31,27
22,3,0,4,13,12,39,21,12,15
23,1,1,7,7,14,16,13,9,9
24,2,0,4,7,6,7,9,7,6
25,2,0,3,3,4,2,8,5,2
26,0,1,4,1,2,4,3,0,2
27,1,0,3,1,4,8,4,6,1
28,1,0,2,8,13,10,13,5,7
29,0,0,3,11,10,21,7,17,18
30,3,3,8,13,20,19,26,9,19
31,11,4,13,23,23,30,27,21,22
32,10,4,28,48,60,85,59,26,42
33,11,9,24,53,99,122,87,53,36
34,10,2,21,52,67,86,74,51,30
35,0,0,0,0,0,0,0,0,0
36,0,0,0,0,0,0,0,0,0
37,0,0,0,0,0,0,0,0,0
38,0,0,0,0,0,0,0,0,0
39,0,0,0,0,0,0,0,0,0
40,0,0,0,0,0,0,0,0,0
41,0,0,0,0,0,0,0,0,0
42,0,0,0,0,0,0,0,0,0
43,0,0,0,0,0,0,0,0,0
44,0,0,0,0,0,0,0,0,0
45,0,0,0,0,0,0,0,0,0
46,0,0,0,0,0,0,0,0,0
47,0,0,0,0,0,0,0,0,0
48,0,0,0,0,0,0,0,0,0
49,0,0,0,0,0,0,0,0,0
50,0,0,0,0,0,0,0,0,0
51,0,0,0,0,0,0,0,0,0
52,0,0,0,0,0,0,0,0,0
