"id","title","value","link","group"
"1","Madonna - Like A Prayer/Dark Ballet/Future (feat. Quavo)","1","https://en.wikipedia.org/wiki/Eurovision_Song_Contest_2019","Ereignis"
"2","P(l)andemie","3","","P(l)andemie"
"3","kultur","2","","kultur"
"4","Globale Gesundheit stärken UN-Nachhaltigkeitsziel umsetzen","1","https://www.cducsu.de/veranstaltungen/globale-gesundheit-staerken-un-nachhaltigkeitsziel-umsetzen","CDU/CSU"
"5","Politik","1","","Politik"
"6","Gesundheit","1","","Gesundheit"
"7","who","1","","who"
"8","Madonna - Madame X","1","https://en.wikipedia.org/wiki/Madame_X_(album)","Ereignis"
"9","World Economic Forum and UN Sign Strategic Partnership Framework","1","https://www.weforum.org/press/2019/06/world-economic-forum-and-un-sign-strategic-partnership-framework","World Economic Forum"
"10","wef","1","","wef"
"11","agenda2030","1","","agenda2030"
